order_id,customer_id,product_id,region,order_date,quantity,sales,profit,category,sub_category,ingestion_ts
1055,C056,P056,West,2026-02-25,5,1013,174.99,Furniture,Sofa,2026-04-03 21:03:29.990956
1056,C057,P057,West,2026-02-26,4,1309,108.86,Technology,Accessory,2026-04-03 21:03:29.990956
1057,C058,P058,South,2026-02-27,3,242,41.49,Technology,Phone,2026-04-03 21:03:29.990956
1058,C059,P059,South,2026-02-28,5,1042,162.49,Technology,Laptop,2026-04-03 21:03:29.990956
1059,C060,P060,West,2026-03-01,1,1821,236.19,Technology,Accessory,2026-04-03 21:03:29.990956
1060,C061,P061,South,2026-03-02,1,491,97.98,Technology,Laptop,2026-04-03 21:03:29.990956
1061,C062,P062,South,2026-03-03,4,596,129.84,Furniture,Table,2026-04-03 21:03:29.990956
1062,C063,P063,West,2026-03-04,3,853,124.47,Technology,Phone,2026-04-03 21:03:29.990956
1063,C064,P064,South,2026-03-05,1,1050,128.83,Office Supplies,Paper,2026-04-03 21:03:29.990956
1064,C065,P065,East,2026-03-06,2,1325,256.53,Office Supplies,Pen,2026-04-03 21:03:29.990956
1065,C066,P066,East,2026-03-07,1,1681,149.71,Furniture,Chair,2026-04-03 21:03:29.990956
1066,C067,P067,North,2026-03-08,3,1998,287.92,Office Supplies,Paper,2026-04-03 21:03:29.990956
1067,C068,P068,East,2026-03-09,3,1295,224.02,Furniture,Sofa,2026-04-03 21:03:29.990956
1068,C069,P069,North,2026-03-10,3,603,118.19,Furniture,Chair,2026-04-03 21:03:29.990956
1069,C070,P070,South,2026-03-11,5,1284,163.67,Office Supplies,Storage,2026-04-03 21:03:29.990956
1070,C071,P071,South,2026-03-12,5,1028,211.59,Technology,Laptop,2026-04-03 21:03:29.990956
1071,C072,P072,West,2026-03-13,1,1422,205.23,Office Supplies,Pen,2026-04-03 21:03:29.990956
1072,C073,P073,East,2026-03-14,1,1887,225.34,Furniture,Chair,2026-04-03 21:03:29.990956
1073,C074,P074,South,2026-03-15,4,1684,233.84,Technology,Phone,2026-04-03 21:03:29.990956
1074,C075,P075,East,2026-03-16,2,635,114.71,Office Supplies,Storage,2026-04-03 21:03:29.990956
1075,C076,P076,West,2026-03-17,5,1794,156.85,Furniture,Chair,2026-04-03 21:03:29.990956
1076,C077,P077,South,2026-03-18,1,1527,189.49,Furniture,Chair,2026-04-03 21:03:29.990956
1077,C078,P078,West,2026-03-19,1,1574,330.08,Office Supplies,Pen,2026-04-03 21:03:29.990956
1078,C079,P079,South,2026-03-20,5,394,59.28,Furniture,Chair,2026-04-03 21:03:29.990956
1079,C080,P080,South,2026-03-21,4,739,62.03,Office Supplies,Paper,2026-04-03 21:03:29.990956
1080,C081,P081,South,2026-03-22,5,1288,272.5,Office Supplies,Storage,2026-04-03 21:03:29.990956
1081,C082,P082,South,2026-03-23,4,448,58.27,Furniture,Chair,2026-04-03 21:03:29.990956
1082,C083,P083,North,2026-03-24,3,1497,224.82,Office Supplies,Pen,2026-04-03 21:03:29.990956
1083,C084,P084,North,2026-03-25,5,350,34.89,Office Supplies,Paper,2026-04-03 21:03:29.990956
1084,C085,P085,North,2026-03-26,1,1967,317.74,Furniture,Table,2026-04-03 21:03:29.990956
1085,C086,P086,South,2026-03-27,1,1626,270.66,Furniture,Table,2026-04-03 21:03:29.990956
1086,C087,P087,South,2026-03-28,2,1266,224.46,Technology,Accessory,2026-04-03 21:03:29.990956
1087,C088,P088,East,2026-03-29,1,1124,131.76,Office Supplies,Paper,2026-04-03 21:03:29.990956
1088,C089,P089,West,2026-03-30,3,1218,181.45,Office Supplies,Storage,2026-04-03 21:03:29.990956
1089,C090,P090,South,2026-03-31,2,1591,297.03,Furniture,Sofa,2026-04-03 21:03:29.990956
1090,C091,P091,South,2026-01-01,2,198,17.25,Office Supplies,Pen,2026-04-03 21:03:29.990956
1091,C092,P092,West,2026-01-02,5,1089,205.14,Furniture,Table,2026-04-03 21:03:29.990956
1092,C093,P093,North,2026-01-03,4,464,101.33,Technology,Phone,2026-04-03 21:03:29.990956
1093,C094,P094,West,2026-01-04,1,1451,314.86,Office Supplies,Storage,2026-04-03 21:03:29.990956
1094,C095,P095,West,2026-01-05,3,215,32.72,Technology,Laptop,2026-04-03 21:03:29.990956
1095,C096,P096,West,2026-01-06,1,1502,313.58,Technology,Laptop,2026-04-03 21:03:29.990956
1096,C097,P097,North,2026-01-07,2,1836,300.43,Furniture,Table,2026-04-03 21:03:29.990956
1097,C098,P098,East,2026-01-08,1,1002,168.78,Technology,Accessory,2026-04-03 21:03:29.990956
1098,C099,P099,West,2026-01-09,1,936,160.96,Office Supplies,Paper,2026-04-03 21:03:29.990956
1099,C100,P100,West,2026-01-10,1,1072,179.61,Technology,Accessory,2026-04-03 21:03:29.990956
1100,C101,P101,West,2026-01-11,1,1600,313.37,Technology,Laptop,2026-04-03 21:03:29.990956
1101,C102,P102,West,2026-01-12,2,1311,170.05,Furniture,Chair,2026-04-03 21:03:29.990956
1102,C103,P103,West,2026-01-13,1,257,35.41,Office Supplies,Pen,2026-04-03 21:03:29.990956
1103,C104,P104,North,2026-01-14,5,167,26.33,Technology,Accessory,2026-04-03 21:03:29.990956
1104,C105,P105,East,2026-01-15,3,1309,205.48,Furniture,Sofa,2026-04-03 21:03:29.990956
1105,C106,P106,West,2026-01-16,5,365,31.57,Office Supplies,Paper,2026-04-03 21:03:29.990956
1106,C107,P107,East,2026-01-17,4,334,47.61,Furniture,Sofa,2026-04-03 21:03:29.990956
1107,C108,P108,West,2026-01-18,4,1092,154.46,Furniture,Sofa,2026-04-03 21:03:29.990956
1108,C109,P109,South,2026-01-19,3,188,32.15,Technology,Laptop,2026-04-03 21:03:29.990956
1109,C110,P110,South,2026-01-20,1,1899,341.82,Technology,Laptop,2026-04-03 21:03:29.990956
1110,C111,P111,West,2026-01-21,4,1299,179.65,Office Supplies,Storage,2026-04-03 21:03:29.990956
1111,C112,P112,East,2026-01-22,4,1786,158.32,Office Supplies,Storage,2026-04-03 21:03:29.990956
1112,C113,P113,East,2026-01-23,3,689,82.43,Office Supplies,Pen,2026-04-03 21:03:29.990956
1113,C114,P114,South,2026-01-24,3,269,48.83,Technology,Phone,2026-04-03 21:03:29.990956
1114,C115,P115,North,2026-01-25,3,1671,193.49,Office Supplies,Storage,2026-04-03 21:03:29.990956
1115,C116,P116,West,2026-01-26,4,852,75.56,Furniture,Table,2026-04-03 21:03:29.990956
1116,C117,P117,East,2026-01-27,5,1696,247.91,Furniture,Sofa,2026-04-03 21:03:29.990956
1117,C118,P118,North,2026-01-28,5,1486,141.31,Furniture,Chair,2026-04-03 21:03:29.990956
1118,C119,P119,East,2026-01-29,5,1566,143.48,Furniture,Sofa,2026-04-03 21:03:29.990956
1119,C120,P120,East,2026-01-30,4,1220,160.11,Furniture,Table,2026-04-03 21:03:29.990956
1120,C121,P001,North,2026-01-31,3,513,58.23,Office Supplies,Pen,2026-04-03 21:03:29.990956
1121,C122,P002,North,2026-02-01,4,108,22.48,Technology,Laptop,2026-04-03 21:03:29.990956
1122,C123,P003,North,2026-02-02,2,550,51.01,Technology,Phone,2026-04-03 21:03:29.990956
1123,C124,P004,West,2026-02-03,4,1641,283.05,Office Supplies,Pen,2026-04-03 21:03:29.990956
1124,C125,P005,South,2026-02-04,3,732,139.5,Furniture,Table,2026-04-03 21:03:29.990956
1125,C126,P006,North,2026-02-05,2,872,128.17,Furniture,Chair,2026-04-03 21:03:29.990956
1126,C127,P007,South,2026-02-06,4,456,72.84,Office Supplies,Pen,2026-04-03 21:03:29.990956
1127,C128,P008,South,2026-02-07,5,966,129.31,Office Supplies,Storage,2026-04-03 21:03:29.990956
1128,C129,P009,West,2026-02-08,4,1408,176.02,Furniture,Chair,2026-04-03 21:03:29.990956
1129,C130,P010,West,2026-02-09,1,1713,273.23,Technology,Laptop,2026-04-03 21:03:29.990956
1130,C131,P011,East,2026-02-10,5,1014,211.48,Office Supplies,Paper,2026-04-03 21:03:29.990956
1131,C132,P012,West,2026-02-11,2,1583,303.9,Furniture,Sofa,2026-04-03 21:03:29.990956
1132,C133,P013,East,2026-02-12,4,915,193.72,Office Supplies,Paper,2026-04-03 21:03:29.990956
1133,C134,P014,North,2026-02-13,1,1617,133.37,Office Supplies,Paper,2026-04-03 21:03:29.990956
1134,C135,P015,West,2026-02-14,3,1801,379.94,Furniture,Chair,2026-04-03 21:03:29.990956
1135,C136,P016,North,2026-02-15,2,1668,345.0,Furniture,Chair,2026-04-03 21:03:29.990956
1136,C137,P017,North,2026-02-16,4,696,81.53,Office Supplies,Pen,2026-04-03 21:03:29.990956
1137,C138,P018,East,2026-02-17,4,1820,267.76,Technology,Laptop,2026-04-03 21:03:29.990956
1138,C139,P019,East,2026-02-18,1,968,141.1,Office Supplies,Pen,2026-04-03 21:03:29.990956
1139,C140,P020,East,2026-02-19,3,315,26.78,Office Supplies,Pen,2026-04-03 21:03:29.990956
1140,C141,P021,South,2026-02-20,3,1956,421.76,Furniture,Table,2026-04-03 21:03:29.990956
1141,C142,P022,North,2026-02-21,4,1158,156.53,Office Supplies,Storage,2026-04-03 21:03:29.990956
1142,C143,P023,South,2026-02-22,4,174,18.03,Office Supplies,Storage,2026-04-03 21:03:29.990956
1143,C144,P024,West,2026-02-23,4,1683,247.87,Furniture,Sofa,2026-04-03 21:03:29.990956
1144,C145,P025,East,2026-02-24,3,1322,114.02,Technology,Phone,2026-04-03 21:03:29.990956
1145,C146,P026,West,2026-02-25,4,1833,228.67,Furniture,Sofa,2026-04-03 21:03:29.990956
1146,C147,P027,West,2026-02-26,2,1467,134.42,Furniture,Sofa,2026-04-03 21:03:29.990956
1147,C148,P028,West,2026-02-27,1,149,24.94,Technology,Phone,2026-04-03 21:03:29.990956
1148,C149,P029,East,2026-02-28,2,1574,172.71,Office Supplies,Storage,2026-04-03 21:03:29.990956
1149,C150,P030,West,2026-03-01,2,181,37.79,Furniture,Chair,2026-04-03 21:03:29.990956
1150,C151,P031,South,2026-03-02,4,1448,234.82,Furniture,Table,2026-04-03 21:03:29.990956
1151,C152,P032,East,2026-03-03,1,537,75.78,Technology,Phone,2026-04-03 21:03:29.990956
1152,C153,P033,East,2026-03-04,2,1606,255.21,Technology,Laptop,2026-04-03 21:03:29.990956
1153,C154,P034,South,2026-03-05,1,1352,190.91,Office Supplies,Pen,2026-04-03 21:03:29.990956
1154,C155,P035,South,2026-03-06,2,606,57.08,Office Supplies,Storage,2026-04-03 21:03:29.990956
1155,C156,P036,East,2026-03-07,3,690,116.59,Technology,Phone,2026-04-03 21:03:29.990956
1156,C157,P037,South,2026-03-08,1,1435,173.63,Furniture,Table,2026-04-03 21:03:29.990956
1157,C158,P038,East,2026-03-09,5,538,114.1,Technology,Laptop,2026-04-03 21:03:29.990956
1158,C159,P039,North,2026-03-10,3,319,61.26,Furniture,Table,2026-04-03 21:03:29.990956
1159,C160,P040,South,2026-03-11,4,1285,213.09,Office Supplies,Paper,2026-04-03 21:03:29.990956
1160,C161,P041,East,2026-03-12,3,1622,333.11,Furniture,Chair,2026-04-03 21:03:29.990956
1161,C162,P042,North,2026-03-13,5,148,32.41,Furniture,Table,2026-04-03 21:03:29.990956
1162,C163,P043,South,2026-03-14,4,1293,281.2,Furniture,Sofa,2026-04-03 21:03:29.990956
1163,C164,P044,North,2026-03-15,2,1785,164.3,Furniture,Sofa,2026-04-03 21:03:29.990956
1164,C165,P045,West,2026-03-16,4,1230,137.3,Office Supplies,Paper,2026-04-03 21:03:29.990956
1165,C166,P046,West,2026-03-17,4,382,71.65,Technology,Accessory,2026-04-03 21:03:29.990956
1166,C167,P047,North,2026-03-18,5,1933,281.34,Office Supplies,Paper,2026-04-03 21:03:29.990956
1167,C168,P048,South,2026-03-19,2,372,54.32,Office Supplies,Storage,2026-04-03 21:03:29.990956
1168,C169,P049,North,2026-03-20,3,291,40.81,Furniture,Table,2026-04-03 21:03:29.990956
1169,C170,P050,West,2026-03-21,4,1366,211.24,Furniture,Sofa,2026-04-03 21:03:29.990956
1170,C171,P051,North,2026-03-22,4,1321,285.36,Furniture,Chair,2026-04-03 21:03:29.990956
1171,C172,P052,North,2026-03-23,2,196,42.66,Office Supplies,Paper,2026-04-03 21:03:29.990956
1172,C173,P053,South,2026-03-24,1,1643,272.95,Furniture,Chair,2026-04-03 21:03:29.990956
1173,C174,P054,East,2026-03-25,3,499,93.82,Office Supplies,Pen,2026-04-03 21:03:29.990956
1174,C175,P055,West,2026-03-26,5,1670,316.71,Technology,Laptop,2026-04-03 21:03:29.990956
1175,C176,P056,East,2026-03-27,3,606,91.15,Technology,Phone,2026-04-03 21:03:29.990956
1176,C177,P057,West,2026-03-28,5,235,27.35,Furniture,Sofa,2026-04-03 21:03:29.990956
1177,C178,P058,West,2026-03-29,1,903,76.55,Office Supplies,Paper,2026-04-03 21:03:29.990956
1178,C179,P059,South,2026-03-30,4,859,69.55,Office Supplies,Storage,2026-04-03 21:03:29.990956
1179,C180,P060,East,2026-03-31,3,994,133.29,Technology,Laptop,2026-04-03 21:03:29.990956
1180,C181,P061,West,2026-01-01,5,398,63.46,Furniture,Sofa,2026-04-03 21:03:29.990956
1181,C182,P062,South,2026-01-02,4,710,112.35,Office Supplies,Pen,2026-04-03 21:03:29.990956
1182,C183,P063,West,2026-01-03,2,1015,181.64,Furniture,Table,2026-04-03 21:03:29.990956
1183,C184,P064,South,2026-01-04,4,938,164.78,Technology,Laptop,2026-04-03 21:03:29.990956
1184,C185,P065,East,2026-01-05,4,732,117.69,Furniture,Chair,2026-04-03 21:03:29.990956
1185,C186,P066,South,2026-01-06,1,736,119.09,Technology,Phone,2026-04-03 21:03:29.990956
1186,C187,P067,West,2026-01-07,4,263,48.03,Technology,Laptop,2026-04-03 21:03:29.990956
1187,C188,P068,West,2026-01-08,5,931,150.06,Office Supplies,Paper,2026-04-03 21:03:29.990956
1188,C189,P069,South,2026-01-09,5,1237,212.14,Furniture,Chair,2026-04-03 21:03:29.990956
1189,C190,P070,East,2026-01-10,4,430,41.89,Technology,Accessory,2026-04-03 21:03:29.990956
1190,C191,P071,South,2026-01-11,5,1918,409.7,Furniture,Chair,2026-04-03 21:03:29.990956
1191,C192,P072,North,2026-01-12,1,1795,172.09,Technology,Laptop,2026-04-03 21:03:29.990956
1192,C193,P073,East,2026-01-13,2,1109,232.01,Furniture,Chair,2026-04-03 21:03:29.990956
1193,C194,P074,North,2026-01-14,1,425,90.81,Office Supplies,Pen,2026-04-03 21:03:29.990956
1194,C195,P075,East,2026-01-15,2,1030,119.76,Technology,Phone,2026-04-03 21:03:29.990956
1195,C196,P076,West,2026-01-16,4,1277,226.02,Office Supplies,Storage,2026-04-03 21:03:29.990956
1196,C197,P077,North,2026-01-17,2,944,197.83,Furniture,Sofa,2026-04-03 21:03:29.990956
1197,C198,P078,North,2026-01-18,2,205,42.39,Technology,Accessory,2026-04-03 21:03:29.990956
1198,C199,P079,East,2026-01-19,5,1976,208.83,Furniture,Table,2026-04-03 21:03:29.990956
1199,C200,P080,East,2026-01-20,3,829,117.35,Technology,Phone,2026-04-03 21:03:29.990956
1200,C201,P081,East,2026-01-21,3,389,55.17,Technology,Laptop,2026-04-03 21:03:29.990956
1201,C202,P082,East,2026-01-22,1,1419,175.62,Technology,Laptop,2026-04-03 21:03:29.990956
1202,C203,P083,South,2026-01-23,3,884,79.74,Furniture,Chair,2026-04-03 21:03:29.990956
1203,C204,P084,West,2026-01-24,2,969,210.95,Technology,Laptop,2026-04-03 21:03:29.990956
1204,C205,P085,North,2026-01-25,2,1060,217.87,Technology,Laptop,2026-04-03 21:03:29.990956
1205,C206,P086,South,2026-01-26,4,1266,128.25,Technology,Phone,2026-04-03 21:03:29.990956
1206,C207,P087,East,2026-01-27,2,550,52.4,Office Supplies,Pen,2026-04-03 21:03:29.990956
1207,C208,P088,East,2026-01-28,5,960,112.33,Technology,Accessory,2026-04-03 21:03:29.990956
1208,C209,P089,South,2026-01-29,3,1867,232.87,Furniture,Chair,2026-04-03 21:03:29.990956
1209,C210,P090,North,2026-01-30,5,1583,191.24,Technology,Accessory,2026-04-03 21:03:29.990956
1210,C211,P091,East,2026-01-31,1,878,93.67,Furniture,Sofa,2026-04-03 21:03:29.990956
1211,C212,P092,West,2026-02-01,2,1375,208.46,Furniture,Table,2026-04-03 21:03:29.990956
1212,C213,P093,North,2026-02-02,5,973,166.07,Office Supplies,Paper,2026-04-03 21:03:29.990956
1213,C214,P094,North,2026-02-03,5,1632,290.03,Furniture,Sofa,2026-04-03 21:03:29.990956
1214,C215,P095,West,2026-02-04,1,199,32.2,Office Supplies,Storage,2026-04-03 21:03:29.990956
1215,C216,P096,East,2026-02-05,2,1645,266.91,Office Supplies,Paper,2026-04-03 21:03:29.990956
1216,C217,P097,South,2026-02-06,3,935,172.3,Office Supplies,Paper,2026-04-03 21:03:29.990956
1217,C218,P098,North,2026-02-07,4,1020,182.67,Technology,Accessory,2026-04-03 21:03:29.990956
1218,C219,P099,North,2026-02-08,2,1984,206.75,Furniture,Table,2026-04-03 21:03:29.990956
1219,C220,P100,North,2026-02-09,3,1127,202.88,Technology,Phone,2026-04-03 21:03:29.990956
1220,C221,P101,West,2026-02-10,2,1591,312.26,Furniture,Table,2026-04-03 21:03:29.990956
1221,C222,P102,North,2026-02-11,5,769,142.25,Office Supplies,Storage,2026-04-03 21:03:29.990956
1222,C223,P103,East,2026-02-12,2,701,109.19,Technology,Accessory,2026-04-03 21:03:29.990956
1223,C224,P104,East,2026-02-13,4,767,103.38,Office Supplies,Storage,2026-04-03 21:03:29.990956
1224,C225,P105,East,2026-02-14,4,417,37.86,Office Supplies,Paper,2026-04-03 21:03:29.990956
1225,C226,P106,West,2026-02-15,5,185,33.08,Office Supplies,Paper,2026-04-03 21:03:29.990956
1226,C227,P107,North,2026-02-16,5,1881,323.82,Office Supplies,Paper,2026-04-03 21:03:29.990956
1227,C228,P108,South,2026-02-17,5,294,29.6,Technology,Laptop,2026-04-03 21:03:29.990956
1228,C229,P109,West,2026-02-18,4,1905,208.35,Office Supplies,Pen,2026-04-03 21:03:29.990956
1229,C230,P110,East,2026-02-19,1,408,58.25,Furniture,Sofa,2026-04-03 21:03:29.990956
1230,C231,P111,North,2026-02-20,4,951,199.25,Furniture,Table,2026-04-03 21:03:29.990956
1231,C232,P112,North,2026-02-21,3,518,51.96,Technology,Phone,2026-04-03 21:03:29.990956
1232,C233,P113,East,2026-02-22,4,753,150.41,Technology,Phone,2026-04-03 21:03:29.990956
1233,C234,P114,East,2026-02-23,3,151,31.29,Furniture,Chair,2026-04-03 21:03:29.990956
1234,C235,P115,East,2026-02-24,4,1598,262.66,Technology,Phone,2026-04-03 21:03:29.990956
1235,C236,P116,West,2026-02-25,3,1518,291.44,Furniture,Sofa,2026-04-03 21:03:29.990956
1236,C237,P117,East,2026-02-26,1,977,107.16,Technology,Accessory,2026-04-03 21:03:29.990956
1237,C238,P118,West,2026-02-27,1,1655,320.0,Office Supplies,Pen,2026-04-03 21:03:29.990956
1238,C239,P119,East,2026-02-28,3,1288,123.75,Technology,Accessory,2026-04-03 21:03:29.990956
1239,C240,P120,North,2026-03-01,3,1594,217.35,Furniture,Table,2026-04-03 21:03:29.990956
1240,C241,P001,North,2026-03-02,5,1867,238.44,Technology,Laptop,2026-04-03 21:03:29.990956
1241,C242,P002,North,2026-03-03,5,1309,143.85,Technology,Laptop,2026-04-03 21:03:29.990956
1242,C243,P003,East,2026-03-04,2,1733,178.43,Office Supplies,Storage,2026-04-03 21:03:29.990956
1243,C244,P004,South,2026-03-05,3,315,33.09,Furniture,Table,2026-04-03 21:03:29.990956
1244,C245,P005,South,2026-03-06,5,1630,201.66,Furniture,Chair,2026-04-03 21:03:29.990956
1245,C246,P006,West,2026-03-07,5,862,89.22,Furniture,Sofa,2026-04-03 21:03:29.990956
1246,C247,P007,North,2026-03-08,1,592,95.17,Furniture,Chair,2026-04-03 21:03:29.990956
1247,C248,P008,West,2026-03-09,1,1984,246.5,Technology,Phone,2026-04-03 21:03:29.990956
1248,C249,P009,South,2026-03-10,5,1202,193.82,Furniture,Table,2026-04-03 21:03:29.990956
1249,C250,P010,West,2026-03-11,4,347,38.54,Technology,Laptop,2026-04-03 21:03:29.990956
1250,C251,P011,North,2026-03-12,5,400,46.31,Office Supplies,Paper,2026-04-03 21:03:29.990956
1251,C252,P012,North,2026-03-13,1,794,108.26,Technology,Phone,2026-04-03 21:03:29.990956
1252,C253,P013,East,2026-03-14,1,448,86.53,Technology,Laptop,2026-04-03 21:03:29.990956
1253,C254,P014,South,2026-03-15,1,1996,263.54,Technology,Accessory,2026-04-03 21:03:29.990956
1254,C255,P015,East,2026-03-16,5,255,43.71,Technology,Accessory,2026-04-03 21:03:29.990956
1255,C256,P016,East,2026-03-17,4,887,124.69,Technology,Phone,2026-04-03 21:03:29.990956
1256,C257,P017,East,2026-03-18,2,256,30.42,Furniture,Sofa,2026-04-03 21:03:29.990956
1257,C258,P018,West,2026-03-19,2,1512,300.14,Furniture,Chair,2026-04-03 21:03:29.990956
1258,C259,P019,East,2026-03-20,3,1684,346.78,Office Supplies,Paper,2026-04-03 21:03:29.990956
1259,C260,P020,South,2026-03-21,1,1923,368.01,Technology,Phone,2026-04-03 21:03:29.990956
1260,C261,P021,North,2026-03-22,3,1760,206.18,Technology,Accessory,2026-04-03 21:03:29.990956
1261,C262,P022,South,2026-03-23,4,524,93.28,Furniture,Table,2026-04-03 21:03:29.990956
1262,C263,P023,West,2026-03-24,4,1096,193.13,Technology,Accessory,2026-04-03 21:03:29.990956
1263,C264,P024,West,2026-03-25,1,1492,317.83,Office Supplies,Pen,2026-04-03 21:03:29.990956
1264,C265,P025,East,2026-03-26,4,923,177.05,Technology,Phone,2026-04-03 21:03:29.990956
1265,C266,P026,North,2026-03-27,1,1383,199.81,Technology,Laptop,2026-04-03 21:03:29.990956
1266,C267,P027,South,2026-03-28,3,1777,143.73,Furniture,Chair,2026-04-03 21:03:29.990956
1267,C268,P028,West,2026-03-29,3,1426,171.07,Office Supplies,Pen,2026-04-03 21:03:29.990956
